GENE	TP	FP	FN	P	R
ENSG00000108848	3868	656	18	0.855	0.995
ENSG00000126091	27205	4000	125	0.872	0.995
ENSG00000225077	88	2223	0	0.038	1.0
ENSG00000212618	0	11	0	0.0	0
ENSG00000274630	102	443	2	0.187	0.981
ENSG00000198160	7639	531	77	0.935	0.99
ENSG00000117616	2795	5420	19	0.34	0.993
ENSG00000200262	0	1	0	0.0	0
ENSG00000233929	8	4	0	0.667	1.0
ENSG00000154309	137	956	3	0.125	0.979
ENSG00000232721	921	54	7	0.945	0.992
ENSG00000143294	2254	1696	12	0.571	0.995
ENSG00000117448	740	681	0	0.521	1.0
ENSG00000186092	1252	1	6	0.999	0.995
ENSG00000231057	649	298	5	0.685	0.992
ENSG00000186860	0	0	0	0	0
ENSG00000161594	0	406	0	0.0	0
ENSG00000265334	0	691	0	0.0	0
ENSG00000232812	60	4	0	0.938	1.0
ENSG00000260698	0	20	0	0.0	0
ENSG00000231900	852	0	16	1.0	0.982
ENSG00000229463	2	16	0	0.111	1.0
ENSG00000234601	0	12	0	0.0	0
ENSG00000287109	2613	64	53	0.976	0.98
ENSG00000256124	18	308	0	0.055	1.0
ENSG00000153936	2	2229	0	0.001	1.0
ENSG00000264529	0	0	0	0	0
ENSG00000266802	9	10	1	0.474	0.9
ENSG00000116903	6	6	0	0.5	1.0
ENSG00000270871	0	844	0	0.0	0
ENSG00000262979	0	3	0	0.0	0
ENSG00000233304	972	132	4	0.88	0.996
ENSG00000277058	0	112	0	0.0	0
ENSG00000224678	0	0	0	0	0
ENSG00000252112	0	0	0	0	0
ENSG00000178821	12	0	0	1.0	1.0
ENSG00000244094	0	4	0	0.0	0
ENSG00000162551	3827	1197	15	0.762	0.996
ENSG00000040531	520	721	2	0.419	0.996
ENSG00000179111	689	0	1	1.0	0.999
ENSG00000266501	0	0	0	0	0
ENSG00000241599	306	18	6	0.944	0.981
ENSG00000284808	0	197	0	0.0	0
ENSG00000286496	6706	47	66	0.993	0.99
ENSG00000235169	2	1	0	0.667	1.0
ENSG00000223945	22	43	0	0.338	1.0
ENSG00000173065	8496	6340	28	0.573	0.997
ENSG00000275107	96	40	0	0.706	1.0
ENSG00000082641	1923	67	11	0.966	0.994
ENSG00000276563	0	0	0	0	0
ENSG00000273017	0	1	0	0.0	0
ENSG00000225331	0	8	0	0.0	0
ENSG00000207181	4	2	0	0.667	1.0
ENSG00000176160	169	1610	1	0.095	0.994
ENSG00000126070	2965	2855	7	0.509	0.998
ENSG00000173276	21532	111	72	0.995	0.997
ENSG00000277589	32	0	0	1.0	1.0
ENSG00000175143	0	10	0	0.0	0
ENSG00000280242	0	2	0	0.0	0
ENSG00000231529	0	0	0	0	0
ENSG00000008128	49	935	1	0.05	0.98
ENSG00000286717	0	1531	0	0.0	0
ENSG00000231949	0	5	0	0.0	0
ENSG00000253058	0	18	0	0.0	0
ENSG00000170385	1973	0	9	1.0	0.995
ENSG00000159182	8	7	0	0.533	1.0
ENSG00000180042	0	21	0	0.0	0
ENSG00000265474	0	46	0	0.0	0
ENSG00000172260	1242	13299	16	0.085	0.987
ENSG00000286620	384	16	2	0.96	0.995
ENSG00000206905	0	0	0	0	0
ENSG00000117020	3272	4170	16	0.44	0.995
ENSG00000230184	2	38	0	0.05	1.0
ENSG00000177489	718	0	2	1.0	0.997
ENSG00000278730	1272	29	8	0.978	0.994
ENSG00000275296	0	8	0	0.0	0
ENSG00000265458	12	220	0	0.052	1.0
ENSG00000142961	4828	67	34	0.986	0.993
ENSG00000185186	126	532	0	0.191	1.0
ENSG00000143375	1003	491	7	0.671	0.993
ENSG00000200437	4	113	0	0.034	1.0
ENSG00000264093	0	9	0	0.0	0
ENSG00000158714	24	268	0	0.082	1.0
ENSG00000279261	82	16	2	0.837	0.976
ENSG00000137944	4	962	0	0.004	1.0
ENSG00000014914	1265	39	9	0.97	0.993
ENSG00000271503	1321	264	31	0.833	0.977
ENSG00000229020	18	3	0	0.857	1.0
ENSG00000226036	0	0	0	0	0
ENSG00000229635	30	0	0	1.0	1.0
ENSG00000236040	0	1	0	0.0	0
ENSG00000234034	0	92	0	0.0	0
ENSG00000242889	0	10	0	0.0	0
ENSG00000238279	15	0	1	1.0	0.938
ENSG00000272235	336	2	10	0.994	0.971
ENSG00000201135	0	8	0	0.0	0
ENSG00000160207	12	1388	0	0.009	1.0
ENSG00000200174	0	18	0	0.0	0
ENSG00000279111	0	0	0	0	0
ENSG00000282849	0	292	0	0.0	0
ENSG00000237481	0	3533	0	0.0	0
ENSG00000235215	0	1814	0	0.0	0
ENSG00000287839	0	45	0	0.0	0
ENSG00000236648	2	247	0	0.008	1.0
ENSG00000229724	0	0	0	0	0
ENSG00000143183	1152	2682	16	0.3	0.986
ENSG00000264956	2023	149	15	0.931	0.993
ENSG00000215088	0	0	0	0	0
ENSG00000155367	6	294	0	0.02	1.0
ENSG00000207451	66	0	0	1.0	1.0
ENSG00000285530	0	3364	0	0.0	0
ENSG00000277610	84	0	0	1.0	1.0
ENSG00000172339	1190	1038	20	0.534	0.983
ENSG00000227722	390	291	0	0.573	1.0
ENSG00000224702	0	3	0	0.0	0
ENSG00000250575	0	95	0	0.0	0
ENSG00000228247	0	2	0	0.0	0
ENSG00000224818	4	9	0	0.308	1.0
ENSG00000240731	0	35	0	0.0	0
ENSG00000272164	2	9	0	0.182	1.0
ENSG00000175866	1583	370	5	0.811	0.997
ENSG00000230898	333	74	7	0.818	0.979
ENSG00000273872	0	0	0	0	0
ENSG00000286103	0	99	0	0.0	0
ENSG00000187531	6091	37	5	0.994	0.999
ENSG00000286383	0	249	0	0.0	0
ENSG00000203729	0	115	0	0.0	0
ENSG00000203668	1387	1766	9	0.44	0.994
ENSG00000010244	12029	436	85	0.965	0.993
ENSG00000267734	433	30	19	0.935	0.958
ENSG00000262408	0	0	0	0	0
ENSG00000229986	29	0	1	1.0	0.967
ENSG00000271576	2749	0	5	1.0	0.998
ENSG00000236674	144	5	0	0.966	1.0
ENSG00000284242	10	4	0	0.714	1.0
ENSG00000116213	122	107	0	0.533	1.0
ENSG00000070366	2745	5612	9	0.328	0.997
ENSG00000265359	0	135	0	0.0	0
ENSG00000158286	694	523	2	0.57	0.997
ENSG00000273338	0	0	0	0	0
ENSG00000287259	0	185	0	0.0	0
ENSG00000277671	0	0	0	0	0
ENSG00000233154	46	151	0	0.234	1.0
ENSG00000227700	6	214	0	0.027	1.0
ENSG00000179598	12	143	0	0.077	1.0
ENSG00000121753	572	72	4	0.888	0.993
ENSG00000090432	0	90	0	0.0	0
ENSG00000161542	264	2438	2	0.098	0.992
ENSG00000159261	210	1229	6	0.146	0.972
ENSG00000005100	4416	459	12	0.906	0.997
ENSG00000134376	2070	1031	10	0.668	0.995
ENSG00000162757	0	100	0	0.0	0
ENSG00000238365	0	1	0	0.0	0
ENSG00000162641	9452	3024	36	0.758	0.996
ENSG00000213987	0	11	0	0.0	0
ENSG00000225190	2641	2093	9	0.558	0.997
ENSG00000274210	0	0	0	0	0
ENSG00000243155	0	2155	0	0.0	0
ENSG00000142657	3130	481	10	0.867	0.997
ENSG00000230615	5632	1259	94	0.817	0.984
ENSG00000231364	133	105	1	0.559	0.993
ENSG00000262558	0	0	0	0	0
ENSG00000206802	0	10	0	0.0	0
ENSG00000213625	476	112	6	0.81	0.988
ENSG00000200343	0	637	0	0.0	0
ENSG00000233975	0	28	0	0.0	0
ENSG00000270115	0	0	0	0	0
ENSG00000037042	0	152	0	0.0	0
ENSG00000264070	48	63	0	0.432	1.0
ENSG00000286732	266	19	0	0.933	1.0
ENSG00000108587	1414	984	62	0.59	0.958
ENSG00000284740	66	82	0	0.446	1.0
ENSG00000136451	478	108	6	0.816	0.988
ENSG00000186409	14737	2225	179	0.869	0.988
ENSG00000279667	0	0	0	0	0
ENSG00000283604	0	0	0	0	0
ENSG00000177885	589	7768	1	0.07	0.998
ENSG00000223570	357	0	1	1.0	0.997
ENSG00000228167	208	0	0	1.0	1.0
ENSG00000238597	0	1	0	0.0	0
ENSG00000250186	54	7	0	0.885	1.0
ENSG00000228238	16	0	0	1.0	1.0
ENSG00000270850	0	13	0	0.0	0
ENSG00000168961	10378	273	48	0.974	0.995
ENSG00000266497	0	348	0	0.0	0
ENSG00000131462	252	63	10	0.8	0.962
ENSG00000218125	0	0	0	0	0
ENSG00000271329	0	10	0	0.0	0
ENSG00000243646	10056	4746	46	0.679	0.995
ENSG00000265845	316	738	4	0.3	0.988
ENSG00000273088	0	6205	0	0.0	0
ENSG00000179412	114	9	0	0.927	1.0
ENSG00000132881	106	78	0	0.576	1.0
ENSG00000267561	0	2371	0	0.0	0
ENSG00000230411	0	0	0	0	0
ENSG00000226486	96	671	0	0.125	1.0
ENSG00000163564	4105	121	33	0.971	0.992
ENSG00000275954	0	1804	0	0.0	0
ENSG00000236773	0	17	0	0.0	0
ENSG00000262049	1375	16	11	0.988	0.992
ENSG00000108559	303	2092	1	0.127	0.997
ENSG00000232809	0	0	0	0	0
ENSG00000276520	147	4	1	0.974	0.993
ENSG00000264057	68	145	2	0.319	0.971
ENSG00000226876	0	27	0	0.0	0
ENSG00000108651	145	1288	1	0.101	0.993
ENSG00000238145	0	0	0	0	0
ENSG00000271355	0	0	0	0	0
ENSG00000274758	6	3	0	0.667	1.0
ENSG00000117597	0	128	0	0.0	0
ENSG00000235530	795	230	5	0.776	0.994
ENSG00000223078	22	1	0	0.957	1.0
ENSG00000184724	0	0	0	0	0
ENSG00000258082	534	0	2	1.0	0.996
ENSG00000073598	12	3275	0	0.004	1.0
ENSG00000198765	1074	661	32	0.619	0.971
ENSG00000273948	0	2	0	0.0	0
ENSG00000283952	18	4127	0	0.004	1.0
ENSG00000169469	0	0	0	0	0
ENSG00000282111	0	34	0	0.0	0
ENSG00000239527	0	59	0	0.0	0
ENSG00000135763	200	231	2	0.464	0.99
ENSG00000143162	202	394	2	0.339	0.99
ENSG00000277313	0	0	0	0	0
ENSG00000287513	0	0	0	0	0
ENSG00000230833	178	0	0	1.0	1.0
ENSG00000272920	38	0	0	1.0	1.0
ENSG00000237328	405	40	7	0.91	0.983
ENSG00000161381	2034	1651	62	0.552	0.97
ENSG00000134222	1187	4	5	0.997	0.996
ENSG00000206767	0	14	0	0.0	0
ENSG00000234546	2395	1254	11	0.656	0.995
ENSG00000225267	0	0	0	0	0
ENSG00000276110	115	21	1	0.846	0.991
ENSG00000229612	0	0	0	0	0
ENSG00000188610	494	933	2	0.346	0.996
ENSG00000231219	0	93	0	0.0	0
ENSG00000206679	0	0	0	0	0
ENSG00000123091	0	1369	0	0.0	0
ENSG00000261222	146	44	0	0.768	1.0
ENSG00000237415	0	8	0	0.0	0
ENSG00000231713	0	0	0	0	0
ENSG00000237325	0	2	0	0.0	0
ENSG00000276633	429	0	5	1.0	0.988
ENSG00000235790	1038	795	4	0.566	0.996
ENSG00000274062	0	153	0	0.0	0
ENSG00000086015	458	3749	0	0.109	1.0
ENSG00000265331	36	0	0	1.0	1.0
ENSG00000262434	127	0	1	1.0	0.992
ENSG00000224691	6	37	0	0.14	1.0
ENSG00000230813	113	0	1	1.0	0.991
ENSG00000230532	8	977	0	0.008	1.0
ENSG00000271419	0	9	0	0.0	0
ENSG00000234494	0	1430	0	0.0	0
ENSG00000271222	8462	55	44	0.994	0.995
ENSG00000279613	0	9	0	0.0	0
ENSG00000231058	104	16	0	0.867	1.0
ENSG00000212338	0	13	0	0.0	0
ENSG00000143643	1451	545	7	0.727	0.995
ENSG00000212657	0	0	0	0	0
ENSG00000169641	5047	1198	17	0.808	0.997
ENSG00000261924	307	27	3	0.919	0.99
ENSG00000267554	0	6	0	0.0	0
ENSG00000169718	1408	99	4	0.934	0.997
ENSG00000204518	7	236	1	0.029	0.875
ENSG00000199849	22	6	0	0.786	1.0
ENSG00000117472	1119	152	7	0.88	0.994
ENSG00000273382	0	108	0	0.0	0
ENSG00000143167	743	713	1	0.51	0.999
ENSG00000261781	26	59	0	0.306	1.0
ENSG00000223905	0	2	0	0.0	0
ENSG00000188807	1356	134	8	0.91	0.994
ENSG00000132359	1281	6338	3	0.168	0.998
ENSG00000134245	42	2804	0	0.015	1.0
ENSG00000274244	2	6	0	0.25	1.0
ENSG00000278540	5094	6015	34	0.459	0.993
ENSG00000241123	20	5	0	0.8	1.0
ENSG00000091640	333	321	3	0.509	0.991
ENSG00000116473	236	2032	0	0.104	1.0
ENSG00000225710	1095	90	9	0.924	0.992
ENSG00000203356	0	1094	0	0.0	0
ENSG00000221398	0	0	0	0	0
ENSG00000143382	3185	6996	13	0.313	0.996
ENSG00000229956	7274	2804	1058	0.722	0.873
ENSG00000241073	0	569	0	0.0	0
ENSG00000248954	0	103	0	0.0	0
ENSG00000261863	2	276	0	0.007	1.0
ENSG00000283477	0	6	0	0.0	0
ENSG00000213075	533	0	3	1.0	0.994
ENSG00000233213	2	0	0	1.0	1.0
ENSG00000234538	0	0	0	0	0
ENSG00000232261	0	0	0	0	0
ENSG00000232223	90	2	0	0.978	1.0
ENSG00000236846	0	0	0	0	0
ENSG00000260325	0	7	0	0.0	0
ENSG00000214518	131	1072	1	0.109	0.992
ENSG00000264617	0	16	0	0.0	0
ENSG00000274585	0	153	0	0.0	0
ENSG00000064195	26	9	0	0.743	1.0
ENSG00000228525	6	0	0	1.0	1.0
ENSG00000203852	0	192	0	0.0	0
ENSG00000011028	2492	1523	6	0.621	0.998
ENSG00000132478	1951	833	5	0.701	0.997
ENSG00000228035	0	127	0	0.0	0
ENSG00000238084	0	41	0	0.0	0
ENSG00000222976	258	0	0	1.0	1.0
ENSG00000286548	653	315	7	0.675	0.989
ENSG00000091583	2	1239	0	0.002	1.0
ENSG00000231905	8	0	0	1.0	1.0
ENSG00000277916	0	38	0	0.0	0
ENSG00000142684	454	0	0	1.0	1.0
ENSG00000143390	3751	44	21	0.988	0.994
ENSG00000236179	0	4	0	0.0	0
ENSG00000275944	32	165	0	0.162	1.0
ENSG00000231666	6280	152	30	0.976	0.995
ENSG00000226780	0	145	0	0.0	0
ENSG00000265121	0	15	0	0.0	0
ENSG00000241913	0	0	0	0	0
ENSG00000206102	0	0	0	0	0
ENSG00000213478	53	0	1	1.0	0.981
ENSG00000236779	0	4	0	0.0	0
ENSG00000266733	248	31	0	0.889	1.0
ENSG00000226364	356	154	2	0.698	0.994
ENSG00000265435	0	0	0	0	0
ENSG00000076351	1582	1665	8	0.487	0.995
ENSG00000277512	18	233	0	0.072	1.0
ENSG00000143858	1026	1532	2	0.401	0.998
ENSG00000246640	0	58	0	0.0	0
ENSG00000271992	0	18	0	0.0	0
ENSG00000201142	0	2	0	0.0	0
ENSG00000286747	661	6	1	0.991	0.998
ENSG00000242398	14	2	0	0.875	1.0
ENSG00000284526	0	1716	0	0.0	0
ENSG00000285954	290	100	0	0.744	1.0
ENSG00000262539	146	31	0	0.825	1.0
ENSG00000231477	0	44	0	0.0	0
ENSG00000261135	108	1	0	0.991	1.0
ENSG00000166265	10	600	0	0.016	1.0
ENSG00000108389	969	382	11	0.717	0.989
ENSG00000215893	0	0	0	0	0
ENSG00000274836	0	10	0	0.0	0
ENSG00000252254	0	10	0	0.0	0
ENSG00000223608	0	16	0	0.0	0
ENSG00000275455	0	0	0	0	0
ENSG00000287895	0	1	0	0.0	0
ENSG00000286379	4	22	0	0.154	1.0
ENSG00000235200	627	128	41	0.83	0.939
ENSG00000279562	0	0	0	0	0
ENSG00000287406	0	223	0	0.0	0
ENSG00000081026	9380	2525	34	0.788	0.996
ENSG00000108551	5597	6	11	0.999	0.998
ENSG00000266162	0	359	0	0.0	0
ENSG00000237480	2275	907	13	0.715	0.994
ENSG00000204952	44	999	0	0.042	1.0
ENSG00000117600	225	88	1	0.719	0.996
ENSG00000237373	17	63	5	0.212	0.773
ENSG00000224018	0	269	0	0.0	0
ENSG00000215369	0	0	0	0	0
ENSG00000261192	1586	0	6	1.0	0.996
ENSG00000173638	1488	1022	12	0.593	0.992
ENSG00000275273	0	142	0	0.0	0
ENSG00000259623	2191	38	15	0.983	0.993
ENSG00000226776	0	0	0	0	0
ENSG00000277406	202	2712	0	0.069	1.0
ENSG00000274059	0	0	0	0	0
ENSG00000287432	4	171	0	0.023	1.0
ENSG00000117151	140	632	0	0.181	1.0
ENSG00000240871	124	1	0	0.992	1.0
ENSG00000201758	4	5	0	0.444	1.0
ENSG00000226252	3352	12	8	0.996	0.998
ENSG00000229484	0	0	0	0	0
ENSG00000163909	0	137	0	0.0	0
ENSG00000076604	9399	6	25	0.999	0.997
ENSG00000136463	0	157	0	0.0	0
ENSG00000188784	700	1	0	0.999	1.0
ENSG00000261915	5814	2317	50	0.715	0.991
ENSG00000123080	3278	143	8	0.958	0.998
ENSG00000228020	0	2	0	0.0	0
ENSG00000117266	4335	241	15	0.947	0.997
ENSG00000201984	0	0	0	0	0
ENSG00000243480	1744	305	14	0.851	0.992
ENSG00000286754	0	1	0	0.0	0
ENSG00000236009	16	28	0	0.364	1.0
ENSG00000263574	0	208	0	0.0	0
ENSG00000198920	3434	434	26	0.888	0.992
ENSG00000236804	6	7	0	0.462	1.0
ENSG00000231123	0	2	0	0.0	0
ENSG00000243539	104	8	2	0.929	0.981
ENSG00000108510	645	2872	1	0.183	0.998
ENSG00000263120	0	34	0	0.0	0
ENSG00000267344	0	8	0	0.0	0
ENSG00000133216	3224	1323	6	0.709	0.998
ENSG00000278757	0	72	0	0.0	0
ENSG00000237230	314	2	2	0.994	0.994
ENSG00000236319	107	654	1	0.141	0.991
ENSG00000137942	851	1431	5	0.373	0.994
ENSG00000270710	0	3	0	0.0	0
ENSG00000233406	714	4	4	0.994	0.994
ENSG00000226003	0	0	0	0	0
ENSG00000160789	16244	972	60	0.944	0.996
ENSG00000286600	479	5537	15	0.08	0.97
ENSG00000228369	0	23	0	0.0	0
ENSG00000135842	2346	1943	10	0.547	0.996
ENSG00000283340	16	0	0	1.0	1.0
ENSG00000206692	0	14	0	0.0	0
ENSG00000284652	0	0	0	0	0
ENSG00000252039	0	3	0	0.0	0
ENSG00000278944	0	324	0	0.0	0
ENSG00000272438	0	48	0	0.0	0
ENSG00000233602	0	1	0	0.0	0
ENSG00000167363	0	297	0	0.0	0
ENSG00000117707	1510	534	10	0.739	0.993
ENSG00000141524	19302	139	98	0.993	0.995
ENSG00000117480	254	341	0	0.427	1.0
ENSG00000238765	0	0	0	0	0
ENSG00000265046	0	1	0	0.0	0
ENSG00000251686	0	0	0	0	0
ENSG00000186377	28	90	0	0.237	1.0
ENSG00000228107	333	57	15	0.854	0.957
ENSG00000229570	0	0	0	0	0
ENSG00000226208	0	15	0	0.0	0
ENSG00000234324	24	0	0	1.0	1.0
ENSG00000281859	6	49	2	0.109	0.75
ENSG00000232059	0	6	0	0.0	0
ENSG00000215353	0	0	0	0	0
ENSG00000235979	956	1834	12	0.343	0.988
ENSG00000276647	0	0	0	0	0
ENSG00000233018	0	1	0	0.0	0
ENSG00000040633	36	2	0	0.947	1.0
ENSG00000232879	40	8	0	0.833	1.0
ENSG00000251851	0	0	0	0	0
ENSG00000266711	0	0	0	0	0
ENSG00000135835	561	674	5	0.454	0.991
ENSG00000276839	0	58	0	0.0	0
ENSG00000275708	4	4	0	0.5	1.0
ENSG00000203865	369	1992	1	0.156	0.997
ENSG00000274372	375	208	5	0.643	0.987
ENSG00000230026	58	25	0	0.699	1.0
ENSG00000273274	469	614	15	0.433	0.969
ENSG00000263624	0	1087	0	0.0	0
ENSG00000220749	0	11	0	0.0	0
ENSG00000252797	0	0	0	0	0
ENSG00000263986	11	780	1	0.014	0.917
ENSG00000271239	295	0	1	1.0	0.997
ENSG00000238212	1581	919	5	0.632	0.997
ENSG00000224066	2	0	0	1.0	1.0
ENSG00000285779	0	8951	0	0.0	0
ENSG00000266980	0	14	0	0.0	0
ENSG00000264060	0	0	0	0	0
ENSG00000203706	99	11	1	0.9	0.99
ENSG00000141753	0	155	0	0.0	0
ENSG00000108784	2	147	0	0.013	1.0
ENSG00000230955	0	695	0	0.0	0
ENSG00000240531	0	0	0	0	0
ENSG00000186765	1257	64	3	0.952	0.998
ENSG00000142621	2948	2241	16	0.568	0.995
ENSG00000237756	8	1	0	0.889	1.0
ENSG00000263301	0	520	0	0.0	0
ENSG00000229820	0	7	0	0.0	0
ENSG00000132386	5443	486	19	0.918	0.997
ENSG00000266744	0	55	0	0.0	0
ENSG00000286863	2156	1923	32	0.529	0.985
ENSG00000182827	10	810	0	0.012	1.0
ENSG00000109083	3319	122	19	0.965	0.994
ENSG00000186868	1556	2629	4	0.372	0.997
ENSG00000157060	50	1552	0	0.031	1.0
ENSG00000265822	14	0	0	1.0	1.0
ENSG00000159961	4	670	0	0.006	1.0
ENSG00000198049	0	23	0	0.0	0
ENSG00000286594	0	0	0	0	0
ENSG00000174950	10	0	0	1.0	1.0
ENSG00000196712	2601	4850	9	0.349	0.997
ENSG00000234222	338	1186	4	0.222	0.988
ENSG00000162769	387	707	1	0.354	0.997
ENSG00000156875	0	774	0	0.0	0
ENSG00000234721	12498	70	502	0.994	0.961
ENSG00000276250	0	0	0	0	0
ENSG00000206762	0	0	0	0	0
ENSG00000283356	6	0	0	1.0	1.0
ENSG00000234233	0	0	0	0	0
ENSG00000214832	48	3	0	0.941	1.0
ENSG00000187242	144	38	0	0.791	1.0
ENSG00000266417	30	17	0	0.638	1.0
ENSG00000285413	0	257	0	0.0	0
ENSG00000174502	2	176	0	0.011	1.0
ENSG00000143199	134	1561	0	0.079	1.0
ENSG00000278845	0	1099	0	0.0	0
ENSG00000275836	0	0	0	0	0
ENSG00000204650	562	1000	10	0.36	0.983
ENSG00000284601	20	74	0	0.213	1.0
ENSG00000162407	14521	2127	171	0.872	0.988
ENSG00000266028	1347	5697	7	0.191	0.995
ENSG00000263501	0	52	0	0.0	0
ENSG00000227312	0	8	0	0.0	0
ENSG00000267659	9	5660	1	0.002	0.9
ENSG00000231702	0	22	0	0.0	0
ENSG00000267104	0	3916	0	0.0	0
ENSG00000235613	117	70	1	0.626	0.992
ENSG00000237954	50	89	0	0.36	1.0
ENSG00000227538	1750	0	6	1.0	0.997
ENSG00000229687	2	3	0	0.4	1.0
ENSG00000270885	12	91	0	0.117	1.0
ENSG00000229344	575	0	7	1.0	0.988
ENSG00000228943	4	11	0	0.267	1.0
ENSG00000262456	0	11	0	0.0	0
ENSG00000162543	0	2	0	0.0	0
ENSG00000267078	0	489	0	0.0	0
ENSG00000199471	0	11	0	0.0	0
ENSG00000265115	0	71	0	0.0	0
ENSG00000224244	6	44	0	0.12	1.0
ENSG00000188933	183	1206	5	0.132	0.973
ENSG00000224276	36	567	0	0.06	1.0
ENSG00000000971	186	675	0	0.216	1.0
ENSG00000187513	0	1	0	0.0	0
ENSG00000265531	350	716	0	0.328	1.0
ENSG00000229849	10	14	0	0.417	1.0
ENSG00000155761	154	1144	0	0.119	1.0
