GENE	TP	FP	FN	P	R
ENSG00000279382	0	0	0	0	0
ENSG00000232912	0	0	536	0	0.0
ENSG00000116667	141	3	585	0.979	0.194
ENSG00000266306	0	0	0	0	0
ENSG00000261976	0	0	74	0	0.0
ENSG00000235023	4	0	0	1.0	1.0
ENSG00000244038	548	0	156	1.0	0.778
ENSG00000230898	0	0	340	0	0.0
ENSG00000279361	0	0	0	0	0
ENSG00000263164	0	0	0	0	0
ENSG00000229032	0	0	24	0	0.0
ENSG00000143653	138	0	0	1.0	1.0
ENSG00000214401	0	0	54	0	0.0
ENSG00000178927	8208	0	596	1.0	0.932
ENSG00000234030	0	0	0	0	0
ENSG00000141040	16	0	0	1.0	1.0
ENSG00000162825	103	0	193	1.0	0.348
ENSG00000189152	84	3	1084	0.966	0.072
ENSG00000257315	0	0	0	0	0
ENSG00000223490	2	0	0	1.0	1.0
ENSG00000233061	0	0	214	0	0.0
ENSG00000162783	0	0	0	0	0
ENSG00000267278	1164	2	3624	0.998	0.243
ENSG00000238283	0	0	2	0	0.0
ENSG00000270835	0	0	718	0	0.0
ENSG00000201746	0	0	114	0	0.0
ENSG00000162645	523	1	3	0.998	0.994
ENSG00000161649	299	0	3	1.0	0.99
ENSG00000267719	0	0	0	0	0
ENSG00000251861	36	0	0	1.0	1.0
ENSG00000262902	2	0	0	1.0	1.0
ENSG00000265845	0	0	320	0	0.0
ENSG00000221882	1399	4	517	0.997	0.73
ENSG00000235303	26	1	2	0.963	0.929
ENSG00000226520	0	0	0	0	0
ENSG00000213033	0	0	0	0	0
ENSG00000160182	0	0	0	0	0
ENSG00000134243	12374	2	60	1.0	0.995
ENSG00000125458	504	0	852	1.0	0.372
ENSG00000225923	49	0	1	1.0	0.98
ENSG00000186501	402	0	0	1.0	1.0
ENSG00000277704	897	0	3	1.0	0.997
ENSG00000158955	0	1	0	0.0	0
ENSG00000265692	2539	0	271	1.0	0.904
ENSG00000255568	0	0	4	0	0.0
ENSG00000188800	8	0	0	1.0	1.0
ENSG00000271746	0	0	0	0	0
ENSG00000260647	0	0	0	0	0
ENSG00000229742	0	0	244	0	0.0
ENSG00000221216	0	0	0	0	0
ENSG00000273110	0	0	0	0	0
ENSG00000200085	0	0	0	0	0
ENSG00000228149	0	0	2678	0	0.0
ENSG00000229028	591	0	1	1.0	0.998
ENSG00000273171	0	0	76	0	0.0
ENSG00000272383	0	0	30	0	0.0
ENSG00000201148	0	0	0	0	0
ENSG00000108950	21	1	131	0.955	0.138
ENSG00000228238	0	0	16	0	0.0
ENSG00000264558	0	0	8	0	0.0
ENSG00000271806	0	0	0	0	0
ENSG00000206805	0	0	0	0	0
ENSG00000215905	0	0	0	0	0
ENSG00000264765	0	0	0	0	0
ENSG00000206999	0	0	0	0	0
ENSG00000262558	0	0	0	0	0
ENSG00000177770	0	0	0	0	0
ENSG00000283879	0	0	0	0	0
ENSG00000265246	2	0	0	1.0	1.0
ENSG00000271013	48	0	2	1.0	0.96
ENSG00000272262	0	0	0	0	0
ENSG00000065243	144	1	16	0.993	0.9
ENSG00000267227	0	0	0	0	0
ENSG00000207237	0	0	0	0	0
ENSG00000272948	0	0	0	0	0
ENSG00000083444	504	1	0	0.998	1.0
ENSG00000265693	0	0	6	0	0.0
ENSG00000265007	0	0	0	0	0
ENSG00000281383	131	0	459	1.0	0.222
